,PERMIT_ID,NAMEADDR,IN_CONSTRUCTION,YEAR_END_PREDICTED,QUARTER_END_PREDICTED,UNITS,NET_UNITS,PERMIT_DATE_YEAR,PERMIT_DATE_QUARTER,DURATION_PREDICTED,COST
209,N201603172392,HOPE SF POTRERO (BP ISSUED),1,2019,2,1600,994,2016,4,9,21800000
57,N201309045886,801 BRANNAN ST,1,2017,1,557,557,2014,3,9,127060484
36896,N201606200387,South Van Ness Ave 49,0,2020,2,550,550,2017,4,9,400000000
30383,N201310280433,08th St 33,0,2016,2,550,550,2013,4,9,3000000
10,N201209069080,TRINITY PLAZA,1,2016,2,550,550,2013,4,9,133333000
38010,N201707131860,01st St 245,0,2020,2,546,546,2017,4,9,1
33544,N201503110506,Folsom St 510,0,2019,2,545,545,2016,1,12,189838000
38020,N201707202450,Market St 1169,0,2020,1,501,501,2017,3,9,12760000
30538,N201311152095,Mission St 1188,0,2016,2,440,440,2013,4,9,400000
37703,N201701247758,Brannan St 801,0,2019,3,434,434,2017,1,9,250000
37418,N201610200809,Van Ness Ave 150,0,2019,2,431,431,2016,4,9,100000
165,N201406138394,150 VAN NESS AV,1,2018,4,431,431,2016,2,9,108000000
170,N201404304554,41 TEHAMA ST,1,2018,1,418,418,2015,3,9,106869000
28462,N201211144194,Mission St 1190,0,2016,2,418,418,2013,1,12,5000
36762,N201605177694,08th St 350,0,2018,4,408,408,2016,2,9,5000
37839,N201703232170,Tehama St 41,0,2020,1,403,403,2017,3,9,1
32061,N201406259481,Folsom St 160,0,2019,2,390,390,2016,4,9,195723000
171,N201406259383,800 INDIANA ST,1,2018,2,326,326,2015,4,9,115000000
36627,N201604215372,Lansing St 45,0,2019,3,320,320,2017,1,9,1
58,N201312234917,1201 - 1225 TENNESSEE ST,1,2017,4,300,300,2015,2,9,73394456
34440,N201506108643,Long Bridge St 718,0,2018,1,263,263,2015,3,9,1
35746,N201512145054,22nd St 1395,0,2019,4,256,256,2017,2,9,110000000
35020,N201509227707,,0,2019,2,250,250,2016,4,9,63874478
27844,N201207124724,Main St 338,0,2015,4,245,245,2013,2,9,98015300
37959,N201705257627,03rd St 701,0,2020,1,230,230,2017,3,9,1
36394,N201603141910,04th St 250,0,2018,4,208,208,2016,2,9,5000
27955,N201208016312,Mission St 1880,0,2015,1,202,202,2012,3,9,1
37928,N201705116353,Silver Ave 302,0,2020,1,198,198,2017,3,9,1500000
33601,N201503181252,03rd St 1000,0,2018,1,198,198,2015,3,9,6446086
172,N201408133775,MISSION BAY BLOCK 1 (RESIDENTIAL) 03RD,1,2018,1,198,198,2015,3,9,86000000
32022,N201406239109,Bryant St 2000,0,2020,1,194,194,2017,3,9,50000000
30205,N201310048548,Mission St 1400,0,2016,2,190,190,2013,4,9,3000000
32406,N201408204325,Octavia St 323,0,2018,2,182,182,2015,4,9,10000
31240,N201402269385,Octavia St 325,0,2017,1,182,182,2014,3,9,1
27228,N201203196326,05th St 240,0,2015,1,182,182,2012,3,9,888104
37911,N201705025455,16th St 1301,0,2020,1,172,172,2017,3,9,40000000
37109,N201608094564,04th St 1200,0,2019,2,172,172,2016,4,9,460895
37903,N201704285234,Mission St 706,0,2020,1,169,169,2017,3,9,1
30729,N201312174400,Polk St 101,0,2016,4,162,162,2014,2,9,100000
37991,N201706219968,Market St 1699,0,2020,1,160,160,2017,3,9,160000
35215,N201510301302,Mission St 526,0,2019,4,156,156,2017,1,10,270000000
29657,N201306250398,Henry Adams St 1,0,2017,1,156,156,2014,3,9,40000000
36325,N201603010904,Arkansas St 210,0,2019,1,154,154,2016,3,9,50000000
173,N201408133766,MISSION BAY BLOCK 1 (RESIDENTIAL) CHANNEL,1,2018,1,152,152,2015,3,9,50000000
36339,N201603031058,Mariposa St 1601,0,2019,1,145,145,2016,3,9,40000000
174,N201507272485,MISSION BAY BLOCK 6E,1,2018,1,143,143,2016,1,7,48657306
11,N201305015894,181 FREMONT ST,1,2016,2,140,140,2013,4,9,136313594
37204,N201608296231,Fulton St 555,0,2019,4,139,139,2017,2,9,1
13,N201305036062,555 FULTON ST,1,2016,4,139,139,2014,1,10,48723500
37043,N201607253262,Harrison St 1532,0,2020,1,136,136,2017,3,9,32000000
32932,N201411262650,King St 144,0,2017,3,132,132,2015,1,9,10000
35238,N201511021443,Arkansas St 88,0,2019,2,127,127,2016,4,9,30251721
59,N201501236565,HOPE SF ALICE GRIFFITH,1,2017,4,122,122,2015,4,7,39000000
36501,N201604013681,Howard St 75,0,2020,2,120,120,2017,4,9,146916000
37616,N201612215523,03rd St 1150,0,2019,4,119,119,2017,2,9,45000000
36686,N201605046495,Fremont St 325,0,2019,3,118,118,2017,1,9,43500000
60,N201311202410,923 FOLSOM ST,1,2017,4,115,115,2015,2,9,35000000
38035,N201708185215,Taylor St 210,0,2020,2,113,113,2017,4,9,50000
61,N201411101145,1140 FOLSOM ST,1,2017,4,112,112,2015,4,7,17450000
35216,N201510301303,01st St 50,0,2020,2,109,109,2017,3,10,520000000
29646,N201306210213,03rd St 2171,0,2019,4,109,109,2017,2,9,43100000
30583,N201311222657,Market St 1554,0,2019,2,109,109,2016,4,9,41000000
37918,N201705055803,Fell St 455,0,2020,1,108,108,2017,3,9,375000
62,N201312033256,1545 PINE ST,1,2017,4,107,107,2015,4,7,39000000
29509,N201305217545,Sutter St 1285,0,2016,1,107,107,2013,3,9,1
14337,N200606144063,09th St 66,0,2015,4,107,107,2007,2,33,28000000
31983,N201406178645,03rd St 2121,0,2017,1,105,105,2014,3,9,3000
37782,N201702280331,06th St 363,0,2019,4,104,104,2017,4,7,17893508
36092,N201602179763,06th St 345,0,2019,4,102,102,2017,2,9,6000000
37059,N201607273531,Pine St 1545,0,2020,1,100,100,2017,3,9,150000
34408,N201506058279,Turk St 1239,0,2018,2,98,98,2015,4,9,25000
12290,N200512281145,Executive Park Blvd 101,0,2013,3,98,98,2007,3,23,35181000
64,N201406279814,2051 03RD ST,1,2017,4,97,97,2015,2,9,32903228
37158,N201608195545,Shotwell St 1294,0,2019,4,94,94,2017,2,9,33000000
65,N201312093691,645 TEXAS ST,1,2017,4,94,94,2015,1,10,30000000
25371,N201012217062,Townsend St 178,0,2014,2,94,94,2011,1,12,350000
37829,N201703171746,03rd St 2051,0,2019,4,93,93,2017,4,7,10000
175,N201405286908,1075 MARKET ST,1,2018,3,90,90,2016,3,7,27000000
176,N201405054911,815 TENNESSEE ST,1,2018,2,88,88,2016,2,7,21000000
16,N201312134180,2198 MARKET ST,1,2016,4,87,87,2014,4,7,20000000
66,N201406249199,TRANSBAY BLOCK 7,1,2017,2,85,85,2015,2,7,8683195
25095,N201010052342,South Van Ness Ave 490,0,2017,4,84,84,2015,2,9,20500000
37851,N201703312961,Mission St 1036,0,2019,3,83,83,2017,3,7,590000
67,N201406269523,1036 - 1040 MISSION ST,1,2017,3,83,83,2015,3,7,30000000
17,N201204168406,800 PRESIDIO AV,1,2016,4,83,83,2014,2,9,15000000
9820,N200506084563,Battery St 810,0,2011,4,81,81,2005,4,23,325000
34593,N201507060668,Laguna St 95,0,2018,4,79,79,2016,2,9,25000000
178,N201602230301,750 HARRISON ST,1,2018,3,79,79,2016,3,7,10000000
18,N201303273113,344 - 388 FULTON ST,1,2016,2,75,75,2013,4,9,12500000
30068,N201309116515,Fremont St 183,0,2015,4,74,74,2013,4,7,4200000
32078,N201406279737,West Point Rd 146,0,2017,3,72,72,2015,3,7,26000000
30151,N201309257711,03rd St 2290,0,2018,3,71,71,2016,3,7,11910000
37433,N201610241023,Potrero Ave 338,0,2018,1,70,70,2017,1,3,60000
37658,N201701046469,Tennessee St 815,0,2018,1,69,69,2017,1,3,100000
19,N201211295086,200 - 214 06TH ST,1,2016,4,67,67,2014,1,10,16738000
31488,N201404113014,Gough St 463,0,2016,4,63,63,2014,4,7,23000
37926,N201705106286,Mission St 5050,0,2019,3,61,61,2017,3,7,35000
68,N201006104250,5050 MISSION ST,1,2017,1,61,61,2016,1,3,25710000
37029,N201607192730,Market St 2100,0,2018,4,60,60,2016,4,7,17303000
33360,N201502128255,Stevenson St 527,0,2017,4,60,60,2015,1,10,1
30814,N201312244989,Indiana St 660,0,2016,4,60,60,2014,4,7,10000000
34638,N201507141485,Tennessee St 777,0,2019,2,59,59,2017,2,7,22800000
27843,N201207124723,Main St 318,0,2015,4,59,59,2013,2,9,20508500
36576,N201604134639,Sloat Blvd 2898,0,2018,3,56,56,2016,3,7,999999
20,N201402047761,2800 SLOAT BL,1,2016,4,56,56,2014,4,7,30000000
21,N201312244992,650 INDIANA ST,1,2016,4,55,55,2014,4,7,12000000
1251,N200309154738,Potrero Ave 480,0,2010,3,55,55,2004,3,23,8000000
26840,N201112221179,Middle Point Rd 52,0,2018,1,54,54,2012,1,23,80000
32064,N201406269542,Folsom St 1335,0,2018,1,53,53,2017,1,3,6000000
37780,N201702280294,Valencia St 1198,0,2018,1,52,52,2017,1,3,521607
69,N201507141495,1198 VALENCIA ST,1,2017,3,52,52,2016,2,4,14888000
32329,N201408063115,Indiana St 680,0,2017,4,51,51,2015,1,10,730000
38060,N9913300S,Fremont St 321,0,2011,4,51,51,2004,2,29,11000000
33978,N201504143537,Presidio Ave 800,0,2017,4,50,50,2015,4,7,692973
70,N200602023710,570 JESSIE ST,1,2017,4,47,47,2015,1,10,7000000
36040,N201602129567,La Salle Ave 899,0,2019,2,44,44,2017,2,7,16200000
34899,N201508265383,Folsom St 1178,0,2018,3,42,42,2016,3,7,8300000
744,N200305124383,Market St 1005,0,2011,4,42,42,2005,4,23,1
36732,N201605127335,18th Ave 369,0,2018,2,41,41,2016,2,7,20000
35503,N201511061998,Hayes St 450,0,2017,4,41,41,2015,4,7,6500
71,N200806275522,5400 GEARY BL,1,2017,2,41,41,2015,2,7,12200000
29092,N201303192552,Pacific Ave 1595,0,2016,1,41,41,2013,2,10,1
36642,N201604285990,Tennessee St 901,0,2019,3,40,40,2017,3,7,9187800
36142,N201602179815,La Salle Ave 889,0,2019,2,40,40,2017,2,7,11300000
36143,N201602179818,La Salle Ave 879,0,2019,2,40,40,2017,2,7,11300000
36144,N201602179819,La Salle Ave 869,0,2019,2,40,40,2017,2,7,11300000
72,N201406249298,119 07TH ST,1,2017,2,39,39,2015,2,7,17237620
34869,N201508204876,07th St 119,0,2017,1,39,39,2016,1,3,250000
31413,N201403271852,Mission St 1875,0,2016,3,39,39,2014,3,7,330000
37951,N201705187023,Sutter St 1238,0,2019,3,37,37,2017,3,7,467000
15356,N200608230323,Jones St 180,0,2017,3,37,37,2015,3,7,12038000
73,N201507161644,1238 SUTTER ST,1,2017,2,37,37,2016,2,3,11466000
29996,N201308275355,Dolores St 25,0,2016,3,37,37,2014,3,7,1
32979,N201412053181,Innes Ct 51,0,2017,2,36,36,2015,2,7,2000000
74,N201504093240,22 FRANKLIN ST,1,2017,4,35,35,2016,3,4,6000000
0,N200602215057,1860 VAN NESS AV,1,2014,4,35,35,2008,4,23,10000000
36398,N201603141960,Earl St 1,0,2019,3,34,34,2017,3,7,9900000
34823,N201508134190,Pacific Ave 240,0,2018,3,33,33,2016,3,7,21300000
1045,N200308051236,Market St 942,0,2013,2,33,33,2007,2,23,4000000
37208,N201608296272,Arelious Walker Dr 2800,0,2018,1,31,31,2017,1,3,14000000
33074,N201412194135,Innes Ct 10,0,2017,2,31,31,2015,2,7,2000000
36927,N201606281077,Arkansas St 75,0,2018,1,30,30,2017,1,3,13000000
76,N201312093685,580 HAYES ST,1,2017,4,29,29,2015,1,10,13000000
35804,N201512235830,Bay St 1598,0,2018,4,28,28,2016,4,7,10500000
37524,N201611223349,10th St 241,0,2018,4,28,28,2016,4,7,1
18608,N200705010141,Mississippi St 1000,0,2018,2,28,28,2016,2,7,11107000
77,N201506159021,241 10TH ST,1,2017,1,28,28,2016,1,3,5500000
30168,N201309277933,Innes Ct 52,0,2016,2,28,28,2014,2,7,9286739
32067,N201406269575,Van Ness Ave 2601,0,2018,2,27,27,2016,2,7,15000000
78,N201401136108,600 SOUTH VAN NESS AV,1,2017,4,27,27,2015,4,7,7200000
33057,N201412173954,Lombard St 2322,0,2017,2,60,24,2016,1,4,1950000
11378,N200510145593,Jessie St 410,0,2016,1,48,24,2007,1,35,1204000
79,N201306280738,1450 15TH ST,1,2017,2,23,23,2015,2,7,5750000
32267,N201407252240,Kennedy Pl 10,0,2017,4,21,21,2016,1,6,125000
31306,N201403100361,Larkin St 1335,0,2019,3,20,20,2017,3,7,10125604
37940,N201705176834,Mariposa St 595,0,2018,4,20,20,2017,3,4,40000
31449,N201404012202,Columbus Ave 1255,0,2017,3,20,20,2016,2,4,800000
37138,N201608155030,Geary Blvd 2750,0,2018,1,94,18,2017,1,3,1200000
22,N200908124639,1731 - 1741 POWELL ST,1,2016,4,19,18,2015,1,6,10559748
30195,N201310038419,Mission St 1801,0,2019,3,17,17,2017,3,7,5300000
34342,N201505297549,07th St 502,0,2018,4,16,16,2017,3,4,3654425
24,N201311041054,3420 18TH ST,1,2016,3,16,16,2015,2,4,3600000
31856,N201405307085,Howard St 1532,0,2018,4,15,15,2016,4,7,1645000
35559,N201511182971,Ocean Ave 1490,0,2017,3,15,15,2016,2,4,760000
25,N200810315636,1490 OCEAN AV,1,2016,4,15,15,2015,1,6,3000000
35457,N201511051836,Mason St 950,0,2019,1,676,14,2016,3,9,1475000
35779,N201512185553,Geary St 440,0,2018,3,130,14,2016,3,7,1200000
80,N201404223881,1463 LOMBARD ST,1,2017,4,14,14,2016,3,4,4000000
36035,N201602129550,Bay St 400,0,2018,4,13,13,2016,4,7,4154500
81,N200712140534,1 STANYAN ST,1,2017,2,13,13,2016,2,3,6000000
1007,N200307280541,Eddy St 1820,0,2014,1,12,12,2005,1,35,700000
21896,N200809252702,Natoma St 574,0,2017,2,11,11,2011,2,23,927656
32503,N201409106016,Brannan St 530,0,2018,4,42,10,2016,4,7,250000
32504,N201409106021,Brannan St 542,0,2018,4,45,9,2016,4,7,225000
83,N201306199977,131 MISSOURI ST,1,2017,4,9,9,2015,4,7,4033416
82,N200808058406,436 OFARRELL ST,1,2017,1,9,9,2016,1,3,150000
28578,N201212055476,24th St 3135,0,2015,4,9,9,2013,1,10,129014
32505,N201409106022,Brannan St 548,0,2018,4,42,8,2016,4,7,200000
33431,N201502269406,Grove St 311,0,2018,4,8,8,2016,4,7,3200000
28833,N201301319206,Otter Cove Ter 115,0,2016,1,8,8,2013,2,10,30000
2,N201210242702,1785 15TH ST,1,2015,4,8,8,2013,4,7,1800000
27721,N201206202986,05th St 55,0,2015,2,116,8,2012,4,9,2000000
36371,N201603081496,Post St 1625,0,2019,2,225,7,2016,4,9,2670000
30905,N201401065657,03rd St 2146,0,2018,4,7,7,2017,3,4,2670000
4208,N200405073324,Hayes St 1282,0,2017,3,7,7,2016,2,4,2625000
37399,N201610140331,Van Ness Ave 2975,0,2018,4,27,6,2017,3,4,440000
35159,N201510200295,Pacific Ave 1032,0,2018,3,6,6,2016,3,7,1800000
36282,N201602220182,Buchanan St 1805,0,2018,3,6,6,2016,3,7,2405000
36719,N201605117147,Central Ave 700,0,2018,2,24,6,2017,2,3,592875
32708,N201410179280,Geary Blvd 4334,0,2017,4,6,6,2016,1,6,3500000
85,N201410108646,949 NATOMA ST,1,2017,4,6,6,2016,3,4,1600000
31980,N201406178592,Beach St 250,0,2017,2,361,6,2014,4,9,900000
84,N200809262781,700 36TH AV,1,2017,2,6,6,2016,2,3,3455948
12489,N200601202704,Mission St 4801,0,2015,4,6,6,2013,4,7,2700000
27971,N201208076803,Buchanan St 127,0,2018,4,5,5,2016,4,7,1000000
31199,N201402219037,24th St 3822,0,2018,3,5,5,2016,3,7,2890000
36793,N201605238169,08th Ave 1391,0,2018,2,22,5,2017,2,3,200000
36149,N201602189860,Grove St 2190,0,2018,1,17,5,2017,1,3,150000
33032,N201412163783,North Point St 898,0,2017,4,5,5,2016,1,6,2500000
33139,N201501085203,Capp St 657,0,2017,4,9,5,2016,1,6,2500000
86,N201410169154,4171 24TH ST,1,2017,2,5,5,2016,2,3,1750000
32506,N201409106023,Pennsylvania Ave 208,0,2018,4,26,4,2016,4,7,100000
34501,N201506239703,14th St 750,0,2018,4,14,4,2016,4,7,650000
37102,N201608054349,Terra Vista Ave 80,0,2018,4,31,4,2017,3,4,150000
31184,N201402198846,19th St 3324,0,2018,3,8,4,2016,3,7,1102000
32261,N201407252206,Plymouth Ave 115,0,2018,3,4,4,2016,3,7,1518640
36417,N201603162239,Ellsworth St 989,0,2018,3,4,4,2016,3,7,1768000
33368,N201502138349,Capp St 854,0,2018,2,4,4,2017,2,3,1500000
34318,N201505277278,San Jose Ave 1794,0,2018,1,4,4,2017,1,3,1665000
29553,N201306038460,Wetmore St 135,0,2017,4,4,4,2015,4,7,2085383
33571,N201503130825,Tehama St 19,0,2017,1,4,4,2015,2,6,565000
3,N201209200274,685 FLORIDA ST,1,2015,4,4,4,2013,4,7,2196000
371,N200210280040,Alemany Blvd 326,0,2015,2,4,4,2006,2,35,1400000
7895,N200502014516,24th St 2917,0,2015,2,5,4,2006,2,35,815000
20422,N200712311569,Post St 875,0,2014,3,50,4,2012,3,7,350000
33011,N201412113579,South Van Ness Ave 831,0,2019,4,3,3,2017,4,7,1500000
36792,N201605238133,Jones St 1420,0,2019,4,15,3,2017,4,7,130000
37468,N201611041949,23rd St 3532,0,2019,4,4,3,2017,4,7,1607000
37904,N201704285242,Natoma St 646,0,2019,4,9,3,2017,4,7,444000
34333,N201505297474,Tehama St 763,0,2018,4,5,3,2016,4,7,500000
35660,N201512094574,Clement St 1547,0,2018,4,3,3,2017,3,4,900000
35687,N201512144945,Larkin St 1244,0,2018,4,3,3,2017,3,4,1681612
36366,N201603081451,Natoma St 630,0,2018,4,3,3,2016,4,7,1625000
36442,N201603182471,Guerrero St 668,0,2018,4,3,3,2017,3,4,1900000
37111,N201608094608,Waller St 855,0,2018,4,12,3,2017,3,4,180000
37264,N201609137558,Union St 1125,0,2018,4,9,3,2017,3,4,150000
37403,N201610140347,Hyde St 2125,0,2018,4,11,3,2017,3,4,152000
30652,N201312043354,Franklin St 885,0,2018,3,24,3,2016,3,7,280161
34309,N201505227051,Telegraph Hill Blvd 115,0,2018,3,3,3,2016,3,7,4750000
34344,N201505297566,24th St 3902,0,2018,3,3,3,2016,3,7,1600000
35157,N201510200259,Stanyan St 600,0,2018,3,33,3,2016,3,7,300000
29014,N201303051508,26th Ave 387,0,2018,2,3,3,2017,2,3,1127500
31921,N201406067695,Taraval St 701,0,2018,2,3,3,2017,2,3,1800000
32030,N201406249203,03rd St 6635,0,2018,2,3,3,2017,2,3,500000
32159,N201407090811,Polk St 2815,0,2018,2,3,3,2017,2,3,1500000
33569,N201503130811,Geneva Ave 974,0,2018,2,3,3,2017,2,3,1960300
35985,N201602038772,Mason St 1445,0,2018,2,15,3,2017,2,3,500000
36475,N201603242991,Van Ness Ave 2400,0,2018,2,31,3,2017,2,3,150000
8166,N200502185851,Balboa St 522,0,2018,1,3,3,2009,1,35,963000
29220,N201304053893,Clement St 1888,0,2018,1,3,3,2017,1,3,1020000
36480,N201603253159,Scott St 530,0,2018,1,15,3,2017,1,3,278586
36554,N201604074236,Dolores St 589,0,2018,1,9,3,2017,1,3,250000
37539,N201611303725,Taraval St 3536,0,2018,1,3,3,2017,1,3,100000
179,N201410108600,44 WOODWARD ST,1,2018,1,3,3,2016,4,4,1100000
180,N201504234455,2755 MCALLISTER ST,1,2018,1,3,3,2016,4,4,1374600
30417,N201310310847,Valencia St 767,0,2017,4,3,3,2015,4,7,500000
34815,N201508124040,Elgin Pk 25,0,2017,4,12,3,2016,1,6,438800
30461,N201311061273,Capp St 580,0,2017,3,135,3,2015,3,7,9000000
87,N200712120290,3534 TARAVAL ST,1,2017,2,3,3,2016,2,3,687000
89,N201409055492,6044 GEARY BL,1,2017,1,3,3,2016,1,3,1150000
29640,N201306210141,21st Ave 363,0,2016,4,3,3,2015,1,6,1200000
145,N200201086443,California St 1915,0,2014,1,21,3,2005,1,35,55000
3867,N200404191654,Dolores St 261,0,2013,4,3,3,2007,4,23,913820
212,N200807176988,165 - 167 BRUSSELS ST,1,2020,1,2,2,2011,1,35,796000
36817,N201605268499,Corbett Ave 775,0,2019,4,8,2,2017,4,7,102000
36830,N201606018897,Balboa St 4740,0,2019,4,35,2,2017,4,7,175000
37326,N201609278929,Sycamore St 60,0,2019,4,8,2,2017,4,7,150000
31123,N201402078043,19th Ave 1236,0,2018,4,3,2,2016,4,7,725000
31229,N201402269328,De Haro St 596,0,2018,4,2,2,2016,4,7,724700
33067,N201412184051,31st Ave 458,0,2018,4,2,2,2016,4,7,1418000
33378,N201502188607,Capitol Ave 286,0,2018,4,4,2,2017,3,4,350000
33381,N201502188620,17th St 3312,0,2018,4,8,2,2016,4,7,825000
33581,N201503160999,Geary Blvd 4221,0,2018,4,3,2,2016,4,7,876200
34183,N201505015120,Summit Way 319,0,2018,4,2,2,2016,4,7,35171
34185,N201505015125,Summit Way 2,0,2018,4,2,2,2016,4,7,54309
34613,N201507080931,Pine St 969,0,2018,4,13,2,2017,3,4,400000
34883,N201508245076,Golden Gate Ave 1750,0,2018,4,14,2,2016,4,7,200000
35140,N201510169925,Haight St 172,0,2018,4,10,2,2016,4,7,179550
35175,N201510230679,Baker St 930,0,2018,4,4,2,2017,3,4,1406444
35501,N201511061992,Laguna St 3250,0,2018,4,31,2,2016,4,7,40000
35652,N201512074335,25th Ave 267,0,2018,4,8,2,2016,4,7,750000
35780,N201512185561,Turk Blvd 3053,0,2018,4,9,2,2016,4,7,100000
35790,N201512215657,Cesar Chavez St 4043,0,2018,4,2,2,2017,3,4,650000
36304,N201602250572,02nd Ave 515,0,2018,4,4,2,2017,3,4,129380
36455,N201603212637,Anza St 2818,0,2018,4,7,2,2016,4,7,204000
36577,N201604134664,Guy Pl 15,0,2018,4,2,2,2016,4,7,2000000
36821,N201605278673,22nd Ave 462,0,2018,4,8,2,2017,3,4,250000
36976,N201607081921,17th St 3574,0,2018,4,8,2,2017,3,4,225000
37022,N201607182596,Coso Ave 2,0,2018,4,8,2,2017,3,4,284000
37050,N201607273501,Cesar Chavez St 4041,0,2018,4,2,2,2017,3,4,797100
37225,N201609016561,Page St 911,0,2018,4,19,2,2017,3,4,150000
37310,N201609238681,Summit Way 15,0,2018,4,2,2,2016,4,7,24500
37411,N201610180594,Union St 1048,0,2018,4,22,2,2017,3,4,159000
181,N200912304034,447 - 453 LINDEN ST,1,2018,4,2,2,2012,4,23,400000
32141,N201407030471,Rosemont Pl 21,0,2018,3,3,2,2016,3,7,750000
32530,N201409156303,Webster St 2018,0,2018,3,2,2,2016,3,7,1568500
35013,N201509217541,Fell St 1852,0,2018,3,9,2,2016,3,7,200000
35224,N201510301346,Fell St 949,0,2018,3,14,2,2016,3,7,250000
35632,N201512013897,Clay St 1670,0,2018,3,14,2,2016,3,7,90000
35807,N201512235842,Laguna St 126,0,2018,3,7,2,2016,3,7,680000
36395,N201603141927,Golden Gate Ave 1880,0,2018,3,3,2,2016,3,7,85000
37110,N201608094585,Utah St 1214,0,2018,3,5,2,2016,3,7,113000
31226,N201402269324,De Haro St 586,0,2018,2,2,2,2017,2,3,762000
31231,N201402269329,De Haro St 566,0,2018,2,2,2,2017,2,3,775000
31234,N201402269331,De Haro St 562,0,2018,2,2,2,2017,2,3,1030000
31524,N201404173443,Harrison St 2621,0,2018,2,3,2,2017,2,3,1100000
35547,N201511162762,Chestnut St 2341,0,2018,2,23,2,2017,2,3,220000
36045,N201602169672,Grattan St 275,0,2018,2,11,2,2017,2,3,301500
36492,N201603303454,Stanyan St 1135,0,2018,2,12,2,2017,2,3,120000
36745,N201605137452,Belvedere St 38,0,2018,2,8,2,2017,2,3,350000
37117,N201608114784,Russ St 146,0,2018,2,8,2,2017,2,3,220000
37568,N201612134768,Dolores St 255,0,2018,2,14,2,2017,2,3,111820
37867,N201704113742,States St 53,0,2018,2,2,2,2017,2,3,100000
183,N201108263406,560 ROOSEVELT WY,1,2018,2,2,2,2013,1,20,800000
26909,N201112301504,Texas St 534,0,2018,1,2,2,2017,1,3,850000
31751,N201405155866,24th Ave 423,0,2018,1,3,2,2016,2,6,855000
32360,N201408133730,Bernard St 160,0,2018,1,2,2,2017,1,3,1105350
33018,N201412123652,Blake St 37,0,2018,1,2,2,2016,2,6,1674408
33415,N201502249220,Potrero Ave 1152,0,2018,1,3,2,2017,1,3,950000
