,PERMIT_ID,NAMEADDR,IN_CONSTRUCTION,YEAR_END_PREDICTED,QUARTER_END_PREDICTED,UNITS,NET_UNITS,PERMIT_DATE_YEAR,PERMIT_DATE_QUARTER,DURATION_PREDICTED,COST
37309,N201609228561,34th Ave 2386,0,2018,2,3,1,2017,2,3,80000
37327,N201609278931,Taylor St 2127,0,2018,2,3,1,2017,2,3,100000
37427,N201610210880,Laguna St 2620,0,2018,2,13,1,2017,2,3,21000
37448,N201610311468,Country Club Dr 1,0,2018,2,2,1,2017,2,3,55000
37461,N201611021779,Turk St 3053,0,2018,2,8,1,2017,2,3,57000
37537,N201611293687,Woolsey St 925,0,2018,2,1,1,2017,2,3,47000
37546,N201612024018,Anza St 3136,0,2018,2,2,1,2017,2,3,56000
37557,N201612084415,23rd Ave 164,0,2018,2,7,1,2017,2,3,51500
37595,N201612165230,Cortland Ave 142,0,2018,2,2,1,2017,2,3,83000
37653,N201612306316,Parnassus Ave 172,0,2018,2,7,1,2017,2,3,80000
37664,N201701066618,Oakwood St 76,0,2018,2,2,1,2017,2,3,400000
37764,N201702179635,23rd St 3669,0,2018,2,3,1,2017,2,3,11500
37800,N201703060737,Liberty St 153,0,2018,2,2,1,2017,2,3,8100
186,N200203191797,Hiliritas Ave 55,0,2018,1,1,1,2016,2,6,900000
187,N200203191802,Hiliritas Ave 65,0,2018,1,1,1,2016,2,6,900000
7308,N200412131313,Tioga Ave 189,0,2018,1,1,1,2016,2,6,796500
7309,N200412131315,Tioga Ave 187,0,2018,1,1,1,2016,2,6,796500
7310,N200412131318,Tioga Ave 191,0,2018,1,1,1,2016,2,6,796500
14313,N200606133915,Texas St 585,0,2018,1,2,1,2009,1,35,250000
20090,N200711289065,30th Ave 874,0,2018,1,2,1,2009,1,35,558000
21050,N200804250691,Lyon St 417,0,2018,1,2,1,2009,1,35,200000
30319,N201310219817,States St 233,0,2018,1,1,1,2016,2,6,525000
30728,N201312174396,24th St 3040,0,2018,1,1,1,2017,1,3,807346
30860,N201312305280,Shotwell St 1525,0,2018,1,1,1,2017,1,3,682137
31367,N201403191158,Anderson St 503,0,2018,1,1,1,2017,1,3,425000
31380,N201403211380,Sagamore St 177,0,2018,1,1,1,2017,1,3,692000
31848,N201405296982,Edgehill Way 127,0,2018,1,1,1,2016,2,6,697500
32123,N201407010196,Funston Ave 1419,0,2018,1,2,1,2017,1,3,300000
32182,N201407111074,Noe St 1783,0,2018,1,1,1,2016,2,6,1000230
32258,N201407242130,Kensington Way 112,0,2018,1,1,1,2016,2,6,1170000
32720,N201410219535,Harvard St 167,0,2018,1,2,1,2017,1,3,155000
32786,N201411040616,Chenery St 831,0,2018,1,1,1,2016,2,6,980000
32913,N201411252470,Baker St 102,0,2018,1,3,1,2017,1,3,684185
33085,N201412234391,Rutledge St 37,0,2018,1,1,1,2017,1,3,610000
33086,N201412234394,Rutledge St 35,0,2018,1,1,1,2017,1,3,504000
33265,N201501297021,Hickory St 522,0,2018,1,1,1,2017,1,3,770000
33350,N201502128193,Natoma St 534,0,2018,1,5,1,2016,2,6,320000
33372,N201502178455,Guerrero St 982,0,2018,1,3,1,2017,1,3,460000
33603,N201503191293,Broderick St 3134,0,2018,1,4,1,2017,1,3,40000
33618,N201503191389,07th Ave 550,0,2018,1,2,1,2016,2,6,178000
33879,N201504022691,Ivy St 628,0,2018,1,3,1,2016,2,6,80000
34240,N201505126076,Bonview St 6,0,2018,1,1,1,2017,1,3,600000
34242,N201505126084,Bonview St 2,0,2018,1,1,1,2017,1,3,700000
34246,N201505136185,Fillmore St 360,0,2018,1,4,1,2016,2,6,12000
34251,N201505136226,38th Ave 846,0,2018,1,3,1,2017,1,3,60000
34467,N201506179222,Rausch St 29,0,2018,1,4,1,2016,2,6,200000
34519,N201506259899,Huron Ave 566,0,2018,1,2,1,2016,2,6,15000
34618,N201507091106,Terra Vista Ave 100,0,2018,1,5,1,2017,1,3,80000
34821,N201508134164,Visitacion Ave 551,0,2018,1,2,1,2016,2,6,35575
34878,N201508215004,Grand View Ave 139,0,2018,1,2,1,2017,1,3,695000
34922,N201508315729,Mcallister St 2739,0,2018,1,3,1,2017,1,3,500000
35130,N201510159839,30th Ave 2123,0,2018,1,2,1,2016,2,6,50000
35680,N201512114877,Euclid Ave 246,0,2018,1,7,1,2017,1,3,80000
35775,N201512185513,Minna St 1359,0,2018,1,4,1,2017,1,3,600000
35817,N201512245923,Hampshire St 1136,0,2018,1,2,1,2017,1,3,284000
35828,N201512306130,38th Ave 2600,0,2018,1,2,1,2017,1,3,82400
35922,N201601227805,24th Ave 538,0,2018,1,3,1,2017,1,3,62000
35956,N201602018430,30th St 489,0,2018,1,2,1,2017,1,3,975000
36009,N201602099107,Union St 376,0,2018,1,4,1,2017,1,3,80000
36018,N201602109217,26th St 3441,0,2018,1,2,1,2017,1,3,181000
36270,N201602190043,Market St 2710,0,2018,1,11,1,2017,1,3,90000
36323,N201603010833,Randolph St 982,0,2018,1,2,1,2017,1,3,93000
36362,N201603071401,Oakdale Ave 1615,0,2018,1,3,1,2017,1,3,75000
36372,N201603081509,Noriega St 501,0,2018,1,1,1,2017,1,3,810000
36556,N201604084285,Athens St 385,0,2018,1,2,1,2017,1,3,35000
36624,N201604205279,14th St 420,0,2018,1,10,1,2017,1,3,105000
36646,N201604286003,11th Ave 470,0,2018,1,3,1,2017,1,3,26580
36671,N201605036456,Noriega St 1633,0,2018,1,4,1,2017,1,3,52000
36730,N201605127316,Chestnut St 1230,0,2018,1,7,1,2017,1,3,10000
36763,N201605177696,25th St 3780,0,2018,1,3,1,2017,1,3,50000
36894,N201606170332,Taraval St 3350,0,2018,1,1,1,2017,1,3,83000
37007,N201607142411,Henry St 69,0,2018,1,1,1,2017,1,3,63850
37010,N201607152444,Folsom St 2790,0,2018,1,7,1,2017,1,3,1
37101,N201608054348,Silliman St 340,0,2018,1,2,1,2017,1,3,10000
37141,N201608165091,Chapman St 495,0,2018,1,1,1,2017,1,3,382565
37168,N201608225711,Lyon St 730,0,2018,1,3,1,2017,1,3,30000
37217,N201608316527,08th Ave 1456,0,2018,1,3,1,2017,1,3,1000
37319,N201609238735,De Haro St 888,0,2018,1,2,1,2017,1,3,60000
37691,N201701187362,Greenwich St 2263,0,2018,1,1,1,2017,1,3,30000
184,N201407181635,647 DUNCAN ST,1,2018,1,1,1,2017,1,3,800000
185,N201407292390,112 12TH AV,1,2018,1,2,1,2017,1,3,19000
186,N201410038023,400 HEARST AV,1,2018,1,1,1,2016,2,6,400000
187,N201410158900,19 ARGUELLO BL,1,2018,1,1,1,2016,4,4,1065088
188,N201412194190,127 23RD AV,1,2018,1,1,1,2016,2,6,670000
189,N201503160972,427 LISBON ST,1,2018,1,2,1,2016,2,6,60000
190,N201505146319,1555 23RD AV,1,2018,1,2,1,2016,4,4,128500
191,N201507232260,1121 FELTON ST,1,2018,1,2,1,2016,2,6,46000
192,N201508214923,1824 15TH ST,1,2018,1,3,1,2016,4,4,190000
193,N201509227704,1780 REVERE AV,1,2018,1,2,1,2016,4,4,74000
194,N201510028709,210 FREDERICK ST,1,2018,1,2,1,2016,2,6,80000
195,N201511203266,1738 FILBERT ST,1,2018,1,2,1,2016,2,6,50000
196,N201511233353,11 HILIRITAS AV,1,2018,1,1,1,2016,4,4,768870
197,N201512114904,1339 FRANCISCO ST,1,2018,1,3,1,2017,1,3,50000
198,N201601076555,17 OTTAWA AV,1,2018,1,2,1,2016,4,4,70000
199,N201601227749,636 CAROLINA ST,1,2018,1,2,1,2017,1,3,490000
200,N201602018541,32 HERON ST,1,2018,1,1,1,2016,4,4,600000
201,N201603020949,406 CHENERY ST,1,2018,1,3,1,2016,4,4,60000
202,N201603152102,2339 41ST AV,1,2018,1,2,1,2016,4,4,75000
203,N201603162161,184 LONDON ST,1,2018,1,2,1,2016,4,4,110000
204,N201603232845,1447 OAKDALE AV,1,2018,1,2,1,2016,4,4,20000
205,N201605177697,1199 DOLORES ST,1,2018,1,3,1,2017,1,3,50000
207,N201608266121,71 CURTIS ST,1,2018,1,2,1,2017,1,3,55000
208,N201611213235,2300 MASON ST,1,2018,1,1,1,2016,4,4,250000
21272,N200806023360,Mckinnon Ave 1703,0,2017,4,1,1,2016,1,6,295000
30174,N201309308119,Evans Ave 1375,0,2017,4,1,1,2015,4,7,1090000
31371,N201403191190,23rd Ave 439,0,2017,4,2,1,2016,1,6,93000
32086,N201406279799,Caine Ave 77,0,2017,4,1,1,2016,1,6,525000
32088,N201406279810,Caine Ave 79,0,2017,4,1,1,2016,1,6,525000
32487,N201409095796,34th Ave 827,0,2017,4,2,1,2016,1,6,240000
32627,N201410027946,12th Ave 371,0,2017,4,2,1,2016,1,6,328300
32682,N201410159002,Dolores St 1560,0,2017,4,2,1,2016,1,6,780000
32782,N201411030494,Keith St 2008,0,2017,4,1,1,2016,1,6,550000
32935,N201412012684,Joy St 29,0,2017,4,1,1,2016,1,6,575000
32990,N201412083314,14th Ave 287,0,2017,4,2,1,2015,4,7,12500
33133,N201501065025,44th Ave 834,0,2017,4,2,1,2015,4,7,1
33266,N201501307061,Alvarado St 873,0,2017,4,2,1,2015,4,7,17000
33289,N201502037359,North Point St 2131,0,2017,4,2,1,2015,4,7,5000
33813,N201504012497,Summit Way 250,0,2017,4,1,1,2015,4,7,10000
33880,N201504032736,09th Ave 1366,0,2017,4,2,1,2016,1,6,22200
33903,N201504072954,Lombard St 1637,0,2017,4,2,1,2015,4,7,150000
34032,N201504214225,15th Ave 1227,0,2017,4,2,1,2015,4,7,303500
34231,N201505085843,Larkin St 1651,0,2017,4,13,1,2015,4,7,60000
34235,N201505115914,Vallejo St 2898,0,2017,4,2,1,2015,4,7,3200000
34304,N201505227018,Sacramento St 1850,0,2017,4,37,1,2016,1,6,75000
34325,N201505287372,Maynard St 175,0,2017,4,2,1,2016,1,6,50000
34420,N201506098466,Summit Way 236,0,2017,4,1,1,2015,4,7,380800
34468,N201506179226,23rd Ave 2689,0,2017,4,2,1,2016,1,6,10000
34626,N201507101227,43rd Ave 439,0,2017,4,3,1,2016,1,6,150600
34789,N201508073658,Cambridge St 462,0,2017,4,2,1,2016,1,6,80000
34925,N201508315738,Fell St 840,0,2017,4,3,1,2016,1,6,17000
110,N201012106469,1927 ALEMANY BL,1,2017,4,1,1,2011,4,23,307200
111,N201204138248,412 HEARST AV,1,2017,4,1,1,2015,4,7,537120
114,N201303071745,680 SPRUCE ST,1,2017,4,2,1,2016,3,4,880000
115,N201303293381,349 RICHLAND AV,1,2017,4,2,1,2015,4,7,178484
116,N201305207321,431 02ND AV,1,2017,4,3,1,2016,3,4,60000
124,N201401307462,1117 HOWARD ST,1,2017,4,1,1,2016,3,4,495000
126,N201403170852,787 TREAT AV,1,2017,4,3,1,2016,1,6,90000
128,N201403261777,225 17TH AV,1,2017,4,2,1,2016,3,4,733000
129,N201404012185,457 WALLER ST,1,2017,4,1,1,2016,1,6,523000
136,N201411191947,116 ELSIE ST,1,2017,4,1,1,2016,3,4,687500
137,N201411212273,2308 21ST AV,1,2017,4,2,1,2015,4,7,260000
141,N201412012693,2877 FOLSOM ST,1,2017,4,1,1,2016,3,4,570000
142,N201501125418,239 14TH AV,1,2017,4,2,1,2016,1,6,300000
144,N201503090286,532 NATOMA ST,1,2017,4,1,1,2015,4,7,384000
145,N201503120626,4820 FULTON ST,1,2017,4,2,1,2016,1,6,106000
147,N201503191386,844 33RD AV,1,2017,4,3,1,2016,3,4,55000
148,N201504012491,1330 HAMPSHIRE ST,1,2017,4,2,1,2015,4,7,672000
149,N201504022624,325 CLIPPER ST,1,2017,4,3,1,2015,4,7,72335
151,N201504224304,1354 27TH AV,1,2017,4,2,1,2016,3,4,35000
152,N201504244517,2930 ANZA ST,1,2017,4,2,1,2015,4,7,310000
154,N201506037942,2142 34TH AV,1,2017,4,2,1,2016,1,6,111423
155,N201506199483,2130 SANTIAGO ST,1,2017,4,2,1,2015,4,7,95550
156,N201507131253,1331 SAN BRUNO AV,1,2017,4,2,1,2016,3,4,600000
157,N201510169913,1453 18TH AV,1,2017,4,3,1,2016,3,4,75500
160,N201511122419,463 SUNRISE WY,1,2017,4,2,1,2016,1,6,70000
161,N201512225698,2477 LOMBARD ST,1,2017,4,3,1,2016,3,4,160800
162,N201602189872,3669 - 3671 23RD ST,1,2017,4,3,1,2016,3,4,86000
163,N201603222793,1528 15TH ST,1,2017,4,5,1,2016,3,4,178000
164,N201606291163,116 VIRGINIA AV,1,2017,4,2,1,2016,3,4,200000
19635,N200709193055,Taylor St 1814,0,2017,3,3,1,2011,3,23,72000
25035,N201009241614,11th Ave 289,0,2017,3,1,1,2011,3,23,250000
30553,N201311192313,Grand View Ave 429,0,2017,3,2,1,2015,3,7,600000
30821,N201312265039,Canyon Dr 23,0,2017,3,1,1,2015,3,7,820000
31022,N201401226863,Stanton St 86,0,2017,3,1,1,2015,3,7,736000
31923,N201406067734,Baker St 618,0,2017,3,2,1,2015,3,7,150000
32281,N201407292392,10th Ave 2014,0,2017,3,2,1,2015,3,7,10000
32317,N201408012798,17th St 3474,0,2017,3,7,1,2015,3,7,60000
32734,N201410229656,San Bruno Ave 3090,0,2017,3,4,1,2015,3,7,24000
32774,N201410300350,Jules Ave 233,0,2017,3,2,1,2015,3,7,5000
33419,N201502259272,Hyde St 1637,0,2017,3,7,1,2015,3,7,140000
34602,N201507070780,Ashbury St 1055,0,2017,3,1,1,2015,3,7,1
34745,N201508033162,15th St 1785,0,2017,3,9,1,2015,3,7,1
112,N201205251254,2851 FILBERT ST,1,2017,3,2,1,2015,3,7,1025000
119,N201307303164,5000 MISSION ST,1,2017,3,2,1,2015,3,7,40000
120,N201308225028,735 CLAYTON ST,1,2017,3,3,1,2015,3,7,250000
125,N201403100278,1181 VALENCIA ST,1,2017,3,3,1,2015,3,7,78000
130,N201404143170,2582 FILBERT ST,1,2017,3,1,1,2015,3,7,3500000
131,N201405064989,987 DOLORES ST,1,2017,3,7,1,2015,3,7,227000
133,N201405125497,2909 BUSH ST,1,2017,3,2,1,2015,3,7,93000
134,N201405307105,88 MONTCALM ST,1,2017,3,1,1,2015,3,7,800000
153,N201504244599,618 EXCELSIOR AV,1,2017,3,2,1,2015,3,7,20000
24106,N201003037492,Page St 1122,0,2017,2,4,1,2011,2,23,150000
25810,N201104083761,Washington St 3650,0,2017,2,1,1,2012,1,20,1000000
32985,N201412083289,Mission St 2265,0,2017,2,17,1,2015,2,7,45000
135,N201410017778,339 CRESCENT AV,1,2017,2,1,1,2016,2,3,780000
138,N201411242420,1044 JACKSON ST,1,2017,2,3,1,2016,2,3,500000
143,N201502107933,1110 YORK ST,1,2017,2,2,1,2016,2,3,690000
146,N201503171144,2405 32ND AV,1,2017,2,1,1,2016,2,3,800588
150,N201504153723,1967 HAYES ST,1,2017,2,3,1,2016,2,3,50000
159,N201510210391,1318 COLE ST,1,2017,2,2,1,2016,2,3,325000
9453,N200505172633,Ervine St 83,0,2017,1,1,1,2008,1,35,325000
18180,N200703307744,Dolores St 1225,0,2017,1,1,1,2015,2,6,928000
19100,N200706154119,42nd Ave 852,0,2017,1,2,1,2011,1,23,310000
19234,N200707116486,19th Ave 1559,0,2017,1,2,1,2008,1,35,450000
19423,N200708139503,Bowdoin St 1316,0,2017,1,1,1,2008,1,35,399000
19588,N200709112317,26th Ave 609,0,2017,1,2,1,2011,1,23,362000
23432,N200909237457,Elsie St 128,0,2017,1,1,1,2015,2,6,559133
26110,N201106228677,Franklin St 1547,0,2017,1,4,1,2014,2,10,300000
28973,N201302281136,Eucalyptus Dr 477,0,2017,1,1,1,2015,2,6,890000
29864,N201307292931,23rd St 3930,0,2017,1,3,1,2015,2,6,52000
30334,N201310229949,Bay St 737,0,2017,1,1,1,2014,2,10,100000
30711,N201312134205,21st St 3721,0,2017,1,1,1,2015,2,6,622000
31610,N201404294518,45th Ave 634,0,2017,1,1,1,2015,2,6,550000
32388,N201408184086,Faxon Ave 645,0,2017,1,2,1,2015,2,6,35000
32595,N201409297547,33rd Ave 1507,0,2017,1,2,1,2015,2,6,15000
32792,N201411050758,Naples St 326,0,2017,1,2,1,2015,2,6,60000
113,N201302250862,1451 MARIPOSA ST,1,2017,1,3,1,2014,2,10,66000
118,N201306280702,807 BOSWORTH ST,1,2017,1,2,1,2015,2,6,340000
121,N201308235158,89 BELGRAVE AV,1,2017,1,1,1,2015,2,6,1035900
122,N201309126618,618 17TH AV,1,2017,1,2,1,2015,2,6,760000
123,N201401226857,2528 UNION ST,1,2017,1,1,1,2016,1,3,1296480
132,N201405085281,2237 UNION ST,1,2017,1,2,1,2016,1,3,1000000
26374,N201108313624,Grove St 537,0,2016,4,2,1,2015,1,6,418662
29863,N201307262927,Natoma St 955,0,2016,4,1,1,2015,1,6,350000
30071,N201309126610,48th Ave 1474,0,2016,4,2,1,2015,1,6,300000
30120,N201309207325,Alvarado St 439,0,2016,4,1,1,2015,1,6,879000
30410,N201310310802,08th Ave 522,0,2016,4,2,1,2015,1,6,232000
31056,N201401287293,Laidley St 210,0,2016,4,1,1,2015,1,6,1100000
31151,N201402138456,Anza St 3339,0,2016,4,2,1,2015,1,6,172800
31190,N201402208968,Grove St 940,0,2016,4,1,1,2014,4,7,599561
31727,N201405155805,Summit Way 301,0,2016,4,1,1,2014,4,7,380800
32038,N201406249274,Haight St 688,0,2016,4,4,1,2015,1,6,54700
32260,N201407252175,Naples St 54,0,2016,4,2,1,2015,1,6,12700
32355,N201408123634,Taylor St 136,0,2016,4,1,1,2014,4,7,21897
32815,N201411121226,Golden Gate Ave 1786,0,2016,4,7,1,2015,1,6,144000
35,N200809262740,2626 LARKIN ST,1,2016,4,2,1,2010,4,23,4200000
36,N200906261414,279 MONTEREY BL,1,2016,4,2,1,2014,1,10,971000
37,N200908033985,194 SWEENY ST,1,2016,4,1,1,2015,1,6,550000
38,N201111179087,645 DUNCAN ST,1,2016,4,1,1,2014,1,10,1093380
39,N201112090432,209 PRENTISS ST,1,2016,4,1,1,2015,1,6,313000
40,N201301168071,4376 24TH ST,1,2016,4,1,1,2015,1,6,900000
41,N201303212727,4616 03RD ST,1,2016,4,2,1,2014,4,7,57785
43,N201305157021,175 BREWSTER ST,1,2016,4,1,1,2015,1,6,479000
44,N201306068876,1769 11TH AV,1,2016,4,1,1,2014,4,7,900000
45,N201307021054,203 RUSSIA AV,1,2016,4,2,1,2015,1,6,120000
47,N201307242711,344 HOLLOWAY AV,1,2016,4,2,1,2015,1,6,275000
48,N201307313282,1055 ASHBURY ST,1,2016,4,1,1,2015,1,6,600000
51,N201311222590,1801 SCOTT ST,1,2016,4,1,1,2014,4,7,267000
52,N201312043311,701 SILVER AV,1,2016,4,1,1,2014,4,7,838295
53,N201312265013,4621 19TH ST,1,2016,4,2,1,2014,4,7,375000
54,N201312305300,1749 DOLORES ST,1,2016,4,2,1,2015,1,6,170000
55,N201406037375,36 KNOLLVIEW WAY,1,2016,4,1,1,2015,1,6,902110
56,N201407080708,1001 CHESTNUT ST,1,2016,4,2,1,2015,1,6,200000
22059,N200810295438,34th Ave 563,0,2016,3,2,1,2010,3,23,631462
29435,N201305096539,Manzanita Ave 53,0,2016,3,2,1,2014,3,7,14500
29490,N201305207381,San Bruno Ave 3132,0,2016,3,2,1,2014,3,7,75000
29729,N201307081319,22nd St 3647,0,2016,3,2,1,2014,3,7,28000
29868,N201307292973,Corbett Ave 349,0,2016,3,2,1,2014,3,7,90000
30798,N201312234814,10th Ave 1280,0,2016,3,2,1,2014,3,7,120000
31300,N201403100318,Summit Way 315,0,2016,3,1,1,2014,3,7,3000
31955,N201406138343,Hawes St 1308,0,2016,3,2,1,2014,3,7,48000
42,N201305156961,546 34TH AV,1,2016,3,2,1,2014,3,7,1080000
49,N201310119147,1302 YORK ST,1,2016,3,3,1,2014,3,7,68000
22839,N200904307374,18th St 1530,0,2016,2,1,1,2010,2,23,85000
23853,N200912183480,14th Ave 223,0,2016,2,2,1,2010,2,23,174560
25249,N201011175170,Granada Ave 71,0,2016,2,1,1,2010,4,21,26052
8055,N200502105264,15th Ave 714,0,2016,1,2,1,2007,1,35,400000
13413,N200604058365,22nd Ave 1242,0,2016,1,2,1,2007,1,35,150000
13995,N200605161719,Bush St 2232,0,2016,1,1,1,2007,1,35,120000
21397,N200806194898,Alpha St 138,0,2016,1,1,1,2013,2,10,500000
28338,N201210162142,Cambridge St 616,0,2016,1,1,1,2013,2,10,536146
28633,N201212136160,Revere Ave 1379,0,2016,1,2,1,2013,2,10,110000
16357,N200611036809,Bishop St 67,0,2015,4,1,1,2009,4,23,600000
16362,N200611036814,Bishop St 71,0,2015,4,1,1,2009,4,23,590000
22486,N200902021241,Clara St 172,0,2015,4,1,1,2009,4,23,68000
22503,N200902041380,San Carlos St 161,0,2015,4,3,1,2009,4,23,15800
23468,N200910018065,Shotwell St 926,0,2015,4,2,1,2009,4,23,1
24277,N201004069730,San Bruno Ave 2724,0,2015,4,3,1,2014,1,6,650000
28102,N201208298556,Uranus Ter 31,0,2015,4,2,1,2014,1,6,20000
28103,N201208308590,05th St 324,0,2015,4,1,1,2013,4,7,210000
7,N201205220992,526 UTAH ST,1,2015,4,2,1,2013,4,7,200000
8,N201209109355,1014 GILMAN AV,1,2015,4,1,1,2013,4,7,780000
9,N201302069581,287 CRESTA VISTA DR,1,2015,4,1,1,2013,4,7,614225
13843,N200605040670,Hugo St 324,0,2015,3,2,1,2013,3,7,300000
20861,N200803288274,Stanyan St 1167,0,2015,3,1,1,2013,3,7,848879
23192,N200907213085,Hotaling Pl 42,0,2015,3,2,1,2009,3,23,13000
26674,N201111088493,Noe St 45,0,2015,3,5,1,2013,3,7,350000
28195,N201209129534,24th Ave 871,0,2015,3,2,1,2013,3,7,20000
6,N200608179803,536 40TH AV,1,2015,3,2,1,2009,3,23,706487
860,N200306207365,Lincoln Way 4227,0,2015,2,2,1,2006,2,35,270000
1329,N200309295983,Cole St 215,0,2015,2,3,1,2006,2,35,450000
3938,N200404221958,48th Ave 1625,0,2015,2,1,1,2006,2,35,410000
5,N200607106046,162 BREWSTER ST,1,2015,2,1,1,2007,4,29,520000
7565,N200501042534,Franklin St 2842,0,2015,1,2,1,2006,1,35,435000
9039,N200504200399,Eddy St 1300,0,2015,1,1,1,2006,1,35,204000
25736,N201103182398,Church St 1877,0,2015,1,2,1,2012,2,10,150000
4640,N200406015250,Mission St 3318,0,2014,4,1,1,2008,4,23,366000
8083,N200502145414,Cherry St 249,0,2014,4,1,1,2008,4,23,300001
25743,N201103212468,Graystone Ter 170,0,2014,4,10,1,2012,1,10,45300
26939,N201201091931,03rd Ave 430,0,2014,4,1,1,2012,4,7,325000
27760,N201206273593,Francisco St 1536,0,2014,4,3,1,2012,4,7,375000
6900,N200411098885,19th Ave 2243,0,2014,3,2,1,2008,3,23,283000
12341,N200601051583,Majestic Ave 192,0,2014,3,1,1,2008,3,23,650000
12597,N200601303332,Kansas St 542,0,2014,3,2,1,2008,3,23,206463
19210,N200707055957,Presidio Ave 858,0,2014,3,5,1,2008,3,23,15000
20738,N200803046213,Shotwell St 711,0,2014,3,1,1,2008,3,23,100000
2642,N200402025367,Cunningham Pl 32,0,2014,2,2,1,2005,2,35,80000
2894,N200402186667,Madison St 215,0,2014,2,1,1,2005,2,35,280000
13678,N200604259790,Bryant St 2219,0,2014,2,2,1,2008,2,23,440000
1331,N200309295987,Douglass St 656,0,2014,1,2,1,2005,1,35,500000
5550,N200407300207,Junipero Serra Blvd 425,0,2014,1,1,1,2005,1,35,380000
412,N200212042761,Oak Park Dr 580,0,2013,4,1,1,2007,4,23,650000
12091,N200512150450,Hudson Ave 1409,0,2013,4,1,1,2007,4,23,438760
12408,N200601132102,Moultrie St 842,0,2013,4,1,1,2007,4,23,350000
16850,N200612149841,Church St 1320,0,2013,4,1,1,2007,4,23,200000
17807,N200703095908,29th Ave 871,0,2013,4,2,1,2007,4,23,225000
22965,N200905299409,Palm Ave 130,0,2013,4,5,1,2011,4,7,75000
8883,N200504119604,Capp St 916,0,2013,3,3,1,2007,3,23,137000
16215,N200610245905,Leland Ave 458,0,2013,3,1,1,2007,3,23,374000
19586,N200709102214,16th Ave 1419,0,2013,3,2,1,2007,3,23,1500
73,N200104267792,Italy Ave 121,0,2013,2,1,1,2004,2,35,285000
559,N200302278401,Bryant St 2356,0,2013,2,3,1,2004,2,35,250000
1047,N200308051249,Carl St 282,0,2013,2,3,1,2004,2,35,10000
2189,N200312293142,Rivoli St 32,0,2013,2,2,1,2004,2,35,1
11271,N200510044772,Clifford Ter 100,0,2013,2,2,1,2007,2,23,70000
13846,N200605040677,Dolores St 1655,0,2013,2,2,1,2007,2,23,300000
517,N200302117166,37th Ave 743,0,2013,1,2,1,2004,1,35,250000
636,N200304041539,Irving St 4109,0,2013,1,2,1,2004,1,35,405000
1248,N200309124662,20th Ave 1494,0,2013,1,2,1,2004,1,35,280000
38052,N9902954S,Head St 211,0,2013,1,1,1,2004,1,35,128000
9606,N200505253422,Mississippi St 1062,0,2012,4,2,1,2006,4,23,175000
46,N200101260712,Francisco St 850,0,2012,3,1,1,2006,3,23,1200000
1452,N200310167584,20th St 3676,0,2011,4,2,1,2005,4,23,300000
3786,N200404141320,45th Ave 1359,0,2011,4,2,1,2005,4,23,300000
4826,N200406116191,22nd St 1919,0,2011,4,2,1,2005,4,23,512000
5395,N200407209286,York St 721,0,2011,4,2,1,2005,4,23,102400
7367,N200412161603,Tehama St 431,0,2011,4,1,1,2005,4,23,287000
581,N200303109221,Corbett Ave 300,0,2010,3,1,1,2004,3,23,360000
1472,N200310218054,Fair Oaks St 221,0,2010,3,2,1,2004,3,23,60000
